allergens,product_name,fat_100g,energy_100g,sugars_100g,carbohydrates_100g,fiber_100g,proteins_100g,potassium_100g
,Vitória crackers,7.0,1569.0,15.0,70.1,,7.8,
,Cacao,,,,,,,
,Sfiudwx,,,,,,,
,Sauce Sweety chili 0%,0.0,88.0,0.4,4.8,,0.2,
,Mini coco,3.0,251.0,3.0,10.0,,2.0,
,Pistou d'ail des ours,,,,,,,
,Pain maïs,,,,,,,
,Mendiants,,,,,,,
,Salade de carottes râpées,0.3,134.0,3.9,5.3,,0.9,
,Fromage blanc aux myrtilles,4.9,540.0,16.3,16.3,,4.4,
,Vainilla,,,,,,,
,Baguette parisien,3.3,929.0,1.8,38.4,,11.7,
,&quot;Baguette Lyonnais&quot;,9.4,1213.0,2.0,41.0,,12.5,
"en:eggs,en:mustard",Solène céréales poulet,5.9,916.0,1.7,30.3,2.8,9.7,
,Tarte noix de coco,22.0,1594.0,21.9,27.3,4.4,4.6,
,Salade de fruits exotiques,0.0,418.0,23.0,24.0,,0.0,
,Chouquettes x 30,21.0,657.0,20.0,39.0,,7.8,
,Pain de maïs bio,,,,,,,
,Tisane Cassis,,,,,,,
,Fromage blanc pêche,3.3,410.0,7.5,7.6,,4.6,
,Crème dessert chocolat,0.0,0.0,0.0,0.0,,0.0,
,Bouillie de sarrasin,,,,,,,
,Compote de poire,0.0,657.0,27.0,36.0,3.6,0.6,
,Paëlla de poulet,9.1,640.0,0.9,9.2,,8.3,
,Aiguillettes de poulet,,,,,,,
,Salade shaker chef,2.2,301.0,1.2,5.2,,7.0,
,Salade de macedoine de légumes,12.7,598.0,1.0,3.9,,1.9,
"BLÉ, GLUTEN, BLE, FROMAGE, LAIT, LAIT, LAIT, LACTIQUES",Baguette Poitevin,6.7,866.0,0.6,27.5,1.7,8.9,
,Suedois thon,3.7,678.0,3.8,20.7,,9.1,
,Ciabatta Bombay,2.3,728.0,1.4,29.3,,8.9,
,Ciabatta Roma,4.5,904.0,1.0,31.5,,12.5,
,Salade tomate,0.2,75.0,2.1,2.2,,0.9,
,Farine de blé noir,,,,,,,
,Mousse chocolat douceur,5.6,707.0,21.6,22.7,,5.8,
,Coca des flandres,2.0,418.0,10.0,10.0,,2.0,
,Brochettes dinde,7.2,544.0,1.0,1.0,,17.0,
"BLÉ, SEIGLE, BLÉ, SEIGLE, SAUMON, FROMAGE",Suedois saumon,4.4,720.0,4.6,23.3,2.7,8.4,
,Saucisse au chou fumé BBC SV (Morteau),25.0,4033.0,0.1,1.0,,20.0,
,Jus de Pommes,0.2,201.0,11.0,12.0,,0.2,
,Crêpes au Kamok,5.7,1247.0,38.0,58.0,,3.4,
,Salade shaker taboulé,8.1,477.0,1.4,5.7,1.7,3.9,
,Banana Chips Sweetened (Whole),28.57,2243.0,14.29,64.29,3.6,3.57,
,Peanuts,17.86,1941.0,17.86,60.71,7.1,17.86,
,Sandwich classique fromage,,,,,,,
,Pain epeautre,1.4,1163.0,1.3,53.0,,12.0,
,Sandiwch Tradition Complet Jambon,,,,,,,
FROMAGE,Fromage blanc à la creme de marron,5.9,628.0,17.4,18.6,0.6,5.1,
,Abondance,33.0,1661.0,0.1,0.1,,25.0,
,Salade verte,0.3,67.0,0.7,1.0,,1.3,
,cuisse de poulet direct au four curry,13.0,824.0,0.9,3.0,,17.0,
,Bagel,5.0,824.0,3.0,28.7,,8.4,
"BLÉ, GLUTEN, BLE, BLE, ORGE, BLÉ, SÉSAME, SEIGLE",Sandwich solene céréales sicilien,6.2,891.0,1.7,30.0,3.1,8.1,
,Brioché poulet caesar,5.1,799.0,2.3,24.4,,8.9,
"en:eggs,en:gluten",BAguette bressan,2.2,669.0,0.6,25.2,1.6,9.5,
,Baguette Niçois,5.6,812.0,1.6,27.7,,9.6,
,Pavé de saumon fumé à la ficelle,17.0,1059.0,0.5,0.5,,23.0,
,Le carré normand,26.0,2121.0,29.0,62.0,,5.5,
,Torti au saumon fumé,16.0,895.0,2.0,12.0,,4.2,
,CORNED BEEF,15.0,983.0,1.0,1.0,,24.0,
,Mediterranean Pasta Salad,,,,,,,
,pavé de saumon fumé,,,,,,,
,Fromage blanc fermier de chèvre au lait entier,,,,,,,
,Pain fit n fiz,8.5,1213.0,6.5,37.3,,12.6,
,Salade fusili poulet curry,1.3,318.0,1.0,9.4,,5.7,
,Baguette Lyonnais &quot;Petit prix&quot;,4.5,1213.0,2.0,41.0,,12.5,
,Galettes Bretonnes 300gr - Biscuiterie &quot;le phare&quot;,,,,,,,
,Pasta box carbonara,,,,,,,
,Pasta box jambon champignion,,,,,,,
,Salade Grecque,2.3,268.0,1.4,1.8,,3.7,
,Salade penne pesto,4.1,477.0,0.9,15.4,,3.2,
,Baguette Poitevin,5.8,887.0,2.0,32.0,,9.4,
,Bagel Boston,4.1,820.0,3.3,29.4,,9.6,
,Tarte chocolat,,,,,,,
,Céleri remoulade,10.0,494.0,1.9,3.3,,1.0,
,Suédois Jambon,4.8,787.0,4.1,23.1,,10.6,
,Salade fraîcheur 3 fromages,,,,,,,
,Salade fraicheur caesar,,,,,,,
,salade ibérique,,,,,,,
,Pâte de fruit fraise,0.1,1180.0,63.0,70.0,,0.4,
,Bretzels en chocolat au lait,,,,,,,
,Solène céréales deux fromages,7.1,916.0,1.9,29.9,,8.7,
,Baguette Niçois,5.6,812.0,1.6,27.7,,9.6,
,8 Buchettes poulet cœur aux figues,,,,,,,
,Baguette Gruyère &quot;Petit Prix&quot;,14.0,1201.0,1.9,42.9,,12.3,
,Pur jus de pomme,0.5,925.0,0.01,0.01,,0.5,
,Salade primeur,3.7,305.0,1.9,6.6,,2.8,
,Organic Salted Nut Mix,57.14,2540.0,3.57,17.86,7.1,17.86,
,Organic Polenta,1.43,1552.0,,77.14,5.7,8.57,
,Breadshop Honey Gone Nuts Granola,18.27,1933.0,11.54,63.46,7.7,13.46,
,Organic Long Grain White Rice,,1490.0,,80.0,,8.89,
,Organic Muesli,18.75,1833.0,15.62,57.81,9.4,14.06,
,Organic Dark Chocolate Minis,37.5,2406.0,42.5,55.0,7.5,5.0,
,Organic Sunflower Oil,100.0,3586.0,,,,,
,Organic Adzuki Beans,1.04,1393.0,,62.5,12.5,22.92,
,Organic Penne Pasta,1.75,1540.0,,73.68,1.8,14.04,
,Zen Party Mix,36.67,2230.0,3.33,36.67,6.7,16.67,
,Organic Golden Flax Seeds,42.86,2590.0,,38.1,38.1,19.05,
,Organic Spicy Punks,48.48,2536.0,,15.15,15.2,30.3,
,Biscuiot de bourg de batz,20.1,2025.0,29.8,68.6,,7.4,
,Biscuits du bourg de Batz,34.1,2293.0,24.1,53.4,,7.0,
,Mélange fruits secs,,,,,,,
,Cinnamon Nut Granola,18.18,1824.0,21.82,60.0,9.1,14.55,
,Organic Hazelnuts,60.71,2632.0,3.57,17.86,10.7,14.29,
,Organic Sweetened Banana Chips,26.67,2092.0,16.67,66.67,3.3,3.33,
,Lotus Organic Brown Jasmine Rice,2.22,1582.0,2.22,77.78,2.2,8.89,
,Organic Oat Groats,5.95,1096.0,2.38,66.67,9.5,16.67,
,Energy Power Mix,17.5,1464.0,32.5,42.5,5.0,7.5,
,Antioxidant Mix - Berries & Chocolate,33.33,2092.0,30.0,46.67,6.7,13.33,
,Organic Quinoa Coconut Granola With Mango,10.91,1674.0,27.27,69.09,9.1,10.91,
,Fire Roasted Hatch Green Chile Almonds,50.0,2372.0,6.67,23.33,10.0,6.67,
,Peanut Butter Power Chews,20.0,1954.0,33.33,60.0,4.4,8.89,
,Real Salt Granular,,,,,,,
,Organic Unswt Berry Coconut Granola,22.22,1548.0,5.56,57.41,9.3,12.96,
,Roasted Salted Black Pepper Cashews,46.67,2372.0,6.67,30.0,3.3,16.67,
,Thai Curry Roasted Cashews,43.33,2372.0,6.67,30.0,3.3,16.67,
