# CONVERGE Release Build 2.4.24/  Jan 17, 2019       Run Date:Tue Jun 11 10:47:42 2019
# column        1                2                3                4                5                6                7                8                9               10               11               12               13               14               15               16               17
#           Crank         Pressure         Max_Pres         Min_Pres        Mean_Temp         Max_Temp         Min_Temp           Volume             Mass          Density    Integrated_HR          HR_Rate              C_p              C_v            Gamma         Kin_Visc         Dyn_Visc
#           (DEG)            (MPa)            (MPa)            (MPa)              (K)              (K)              (K)            (m^3)             (kg)         (kg/m^3)              (J)         (J/time)         (J/kg-K)         (J/kg-K)           (none)          (m^2/s)        (N*s/m^2)
#
    1.7600039e+03    1.0341197e-01    1.0360092e-01    9.6540678e-02    5.4023339e+02    9.3635765e+02    3.7331366e+02    1.0322417e-04    6.8425488e-05    6.6288242e-01    1.1835114e+03    0.0000000e+00    1.0867855e+03    7.9811850e+02    1.3616844e+00    4.3080264e-05    2.8120092e-05
    1.7601008e+03    1.0329067e-01    1.0350284e-01    9.6379246e-02    5.3986809e+02    9.3406933e+02    3.7322070e+02    1.0293518e-04    6.8200002e-05    6.6255289e-01    1.1835114e+03    0.0000000e+00    1.0866948e+03    7.9802768e+02    1.3617257e+00    4.3081049e-05    2.8107500e-05
    1.7602171e+03    1.0314579e-01    1.0336891e-01    9.5494409e-02    5.3943093e+02    9.3120807e+02    3.7310962e+02    1.0258900e-04    6.7930301e-05    6.6215968e-01    1.1835114e+03    0.0000000e+00    1.0865868e+03    7.9791944e+02    1.3617751e+00    4.3082078e-05    2.8092408e-05
    1.7603136e+03    1.0302673e-01    1.0417799e-01    9.6158464e-02    5.3907105e+02    9.2943541e+02    3.7300887e+02    1.0230247e-04    6.7707544e-05    6.6183683e-01    1.1835114e+03    0.0000000e+00    1.0864980e+03    7.9783042e+02    1.3618156e+00    4.3082865e-05    2.8079981e-05
    1.7604102e+03    1.0290871e-01    1.0378356e-01    9.5325030e-02    5.3871327e+02    9.2805584e+02    3.7289816e+02    1.0201607e-04    6.7485431e-05    6.6151767e-01    1.1835114e+03    0.0000000e+00    1.0864097e+03    7.9774199e+02    1.3618560e+00    4.3083532e-05    2.8067626e-05
    1.7605066e+03    1.0279205e-01    1.0368307e-01    9.5924776e-02    5.3835859e+02    9.2642863e+02    3.7278864e+02    1.0173064e-04    6.7264610e-05    6.6120307e-01    1.1835114e+03    0.0000000e+00    1.0863222e+03    7.9765435e+02    1.3618960e+00    4.3084070e-05    2.8055377e-05
    1.7606032e+03    1.0267639e-01    1.0301799e-01    9.5284553e-02    5.3800567e+02    9.2453723e+02    3.7269065e+02    1.0144542e-04    6.7044494e-05    6.6089225e-01    1.1835114e+03    0.0000000e+00    1.0862352e+03    7.9756717e+02    1.3619357e+00    4.3084451e-05    2.8043187e-05
    1.7607189e+03    1.0253931e-01    1.0272651e-01    9.5814219e-02    5.3758645e+02    9.2236054e+02    3.7258688e+02    1.0110441e-04    6.6781945e-05    6.6052455e-01    1.1835114e+03    0.0000000e+00    1.0861320e+03    7.9746369e+02    1.3619830e+00    4.3084803e-05    2.8028699e-05
    1.7608153e+03    1.0242658e-01    1.0265597e-01    9.5625180e-02    5.3724001e+02    9.2059542e+02    3.7250825e+02    1.0082061e-04    6.6564167e-05    6.6022380e-01    1.1835114e+03    0.0000000e+00    1.0860467e+03    7.9737822e+02    1.3620220e+00    4.3084881e-05    2.8016722e-05
    1.7609117e+03    1.0231535e-01    1.0251917e-01    9.5679732e-02    5.3689693e+02    9.1887827e+02    3.7242996e+02    1.0053749e-04    6.6347526e-05    6.5992822e-01    1.1835114e+03    0.0000000e+00    1.0859623e+03    7.9729365e+02    1.3620606e+00    4.3084804e-05    2.8004853e-05
    1.7610082e+03    1.0220545e-01    1.0391905e-01    9.5521463e-02    5.3655648e+02    9.1751961e+02    3.7234621e+02    1.0025473e-04    6.6131785e-05    6.5963758e-01    1.1835114e+03    0.0000000e+00    1.0858785e+03    7.9720972e+02    1.3620990e+00    4.3084530e-05    2.7993072e-05
    1.7611046e+03    1.0209669e-01    1.0231608e-01    9.5453608e-02    5.3621883e+02    9.1559562e+02    3.7225710e+02    9.9972814e-05    6.5917123e-05    6.5935047e-01    1.1835114e+03    0.0000000e+00    1.0857956e+03    7.9712657e+02    1.3621370e+00    4.3084169e-05    2.7981383e-05
    1.7612011e+03    1.0198925e-01    1.0224479e-01    9.5430759e-02    5.3588358e+02    9.1367568e+02    3.7215969e+02    9.9691061e-05    6.5703245e-05    6.5906857e-01    1.1835114e+03    0.0000000e+00    1.0857132e+03    7.9704405e+02    1.3621747e+00    4.3083587e-05    2.7969775e-05
    1.7613168e+03    1.0186261e-01    1.0208480e-01    9.5364229e-02    5.3548627e+02    9.1140651e+02    3.7203590e+02    9.9354293e-05    6.5448497e-05    6.5873850e-01    1.1835114e+03    0.0000000e+00    1.0856157e+03    7.9694631e+02    1.3622194e+00    4.3082609e-05    2.7956012e-05
    1.7614132e+03    1.0175893e-01    1.0199317e-01    9.5254765e-02    5.3515866e+02    9.0954069e+02    3.7193173e+02    9.9073972e-05    6.5237312e-05    6.5847074e-01    1.1835114e+03    0.0000000e+00    1.0855354e+03    7.9686575e+02    1.3622563e+00    4.3081497e-05    2.7944661e-05
    1.7615096e+03    1.0165682e-01    1.0190546e-01    9.5243962e-02    5.3483439e+02    9.0766873e+02    3.7182475e+02    9.8794420e-05    6.5027346e-05    6.5820870e-01    1.1835114e+03    0.0000000e+00    1.0854559e+03    7.9678607e+02    1.3622927e+00    4.3080191e-05    2.7933423e-05
    1.7616060e+03    1.0155639e-01    1.0223098e-01    9.5124433e-02    5.3451329e+02    9.0584235e+02    3.7171666e+02    9.8515319e-05    6.4818485e-05    6.5795335e-01    1.1835114e+03    0.0000000e+00    1.0853772e+03    7.9670717e+02    1.3623288e+00    4.3078613e-05    2.7922294e-05
    1.7617023e+03    1.0145781e-01    1.0170923e-01    9.5089568e-02    5.3419596e+02    9.0411200e+02    3.7161064e+02    9.8236900e-05    6.4610904e-05    6.5770503e-01    1.1835114e+03    0.0000000e+00    1.0852994e+03    7.9662921e+02    1.3623645e+00    4.3076785e-05    2.7911294e-05
    1.7618180e+03    1.0134199e-01    1.0165625e-01    9.5042865e-02    5.3381870e+02    9.0216542e+02    3.7148871e+02    9.7900117e-05    6.4361336e-05    6.5741837e-01    1.1835114e+03    0.0000000e+00    1.0852071e+03    7.9653671e+02    1.3624069e+00    4.3074042e-05    2.7898214e-05
    1.7619143e+03    1.0124713e-01    1.0223294e-01    9.4974128e-02    5.3350868e+02    9.0056593e+02    3.7139294e+02    9.7622781e-05    6.4156182e-05    6.5718454e-01    1.1835114e+03    0.0000000e+00    1.0851310e+03    7.9646035e+02    1.3624419e+00    4.3071496e-05    2.7887474e-05
    1.7620107e+03    1.0115396e-01    1.0142528e-01    9.4935501e-02    5.3320183e+02    8.9900557e+02    3.7130339e+02    9.7346270e-05    6.3952364e-05    6.5695751e-01    1.1835114e+03    0.0000000e+00    1.0850559e+03    7.9638507e+02    1.3624764e+00    4.3068844e-05    2.7876827e-05
    1.7621070e+03    1.0106261e-01    1.0132737e-01    9.4926030e-02    5.3289861e+02    8.9748054e+02    3.7121985e+02    9.7070238e-05    6.3749672e-05    6.5673757e-01    1.1835114e+03    0.0000000e+00    1.0849817e+03    7.9631068e+02    1.3625105e+00    4.3065916e-05    2.7866304e-05
    1.7622033e+03    1.0097302e-01    1.0123874e-01    9.4890850e-02    5.3259898e+02    8.9595280e+02    3.7114156e+02    9.6795441e-05    6.3548568e-05    6.5652439e-01    1.1835114e+03    0.0000000e+00    1.0849084e+03    7.9623719e+02    1.3625442e+00    4.3062723e-05    2.7855904e-05
    1.7623189e+03    1.0086812e-01    1.0115177e-01    9.4831351e-02    5.3224443e+02    8.9423394e+02    3.7105105e+02    9.6465534e-05    6.3308308e-05    6.5627904e-01    1.1835114e+03    0.0000000e+00    1.0848218e+03    7.9615031e+02    1.3625841e+00    4.3058470e-05    2.7843594e-05
    1.7624152e+03    1.0078277e-01    1.0133017e-01    9.4759113e-02    5.3195320e+02    8.9303766e+02    3.7097573e+02    9.6191637e-05    6.3109658e-05    6.5608258e-01    1.1835114e+03    0.0000000e+00    1.0847506e+03    7.9607898e+02    1.3626168e+00    4.3054603e-05    2.7833479e-05
    1.7625116e+03    1.0069908e-01    1.0144745e-01    9.4750045e-02    5.3166511e+02    8.9182604e+02    3.7090007e+02    9.5917459e-05    6.2911571e-05    6.5589280e-01    1.1835114e+03    0.0000000e+00    1.0846804e+03    7.9600852e+02    1.3626492e+00    4.3050461e-05    2.7823469e-05
    1.7626078e+03    1.0061750e-01    1.0108559e-01    9.4669941e-02    5.3138113e+02    8.9058634e+02    3.7082595e+02    9.5643839e-05    6.2714769e-05    6.5571154e-01    1.1835114e+03    0.0000000e+00    1.0846110e+03    7.9593899e+02    1.3626811e+00    4.3045983e-05    2.7813600e-05
    1.7627041e+03    1.0053753e-01    1.0081845e-01    9.4561674e-02    5.3110032e+02    8.8933338e+02    3.7075558e+02    9.5371155e-05    6.2519290e-05    6.5553667e-01    1.1835114e+03    0.0000000e+00    1.0845426e+03    7.9587033e+02    1.3627127e+00    4.3041250e-05    2.7803841e-05
    1.7628003e+03    1.0045936e-01    1.0186198e-01    9.4482269e-02    5.3082306e+02    8.8804589e+02    3.7069137e+02    9.5099504e-05    6.2325260e-05    6.5536893e-01    1.1835114e+03    0.0000000e+00    1.0844750e+03    7.9580253e+02    1.3627438e+00    4.3036243e-05    2.7794206e-05
    1.7629160e+03    1.0036756e-01    1.0066163e-01    9.4448296e-02    5.3049501e+02    8.8649342e+02    3.7062218e+02    9.4776378e-05    6.2095091e-05    6.5517477e-01    1.1835114e+03    0.0000000e+00    1.0843949e+03    7.9572225e+02    1.3627807e+00    4.3029998e-05    2.7782805e-05
    1.7630121e+03    1.0029319e-01    1.0055363e-01    9.4423321e-02    5.3022544e+02    8.8517302e+02    3.7056939e+02    9.4506164e-05    6.1903616e-05    6.5502200e-01    1.1835114e+03    0.0000000e+00    1.0843293e+03    7.9565644e+02    1.3628110e+00    4.3024420e-05    2.7773433e-05
    1.7631085e+03    1.0022075e-01    1.0049962e-01    9.4392318e-02    5.2995899e+02    8.8383325e+02    3.7051820e+02    9.4235159e-05    6.1712514e-05    6.5487780e-01    1.1835114e+03    0.0000000e+00    1.0842645e+03    7.9559140e+02    1.3628409e+00    4.3018442e-05    2.7764171e-05
    1.7632047e+03    1.0015053e-01    1.0042856e-01    9.4374693e-02    5.2969717e+02    8.8244884e+02    3.7046701e+02    9.3966091e-05    6.1523565e-05    6.5474219e-01    1.1835114e+03    0.0000000e+00    1.0842008e+03    7.9552746e+02    1.3628703e+00    4.3012154e-05    2.7755071e-05
    1.7633010e+03    1.0008180e-01    1.0036330e-01    9.4297055e-02    5.2943791e+02    8.8113297e+02    3.7041506e+02    9.3696964e-05    6.1335262e-05    6.5461312e-01    1.1835114e+03    0.0000000e+00    1.0841377e+03    7.9546416e+02    1.3628994e+00    4.3005566e-05    2.7746061e-05
    1.7634164e+03    1.0000219e-01    1.0027023e-01    9.4315047e-02    5.2913275e+02    8.7944545e+02    3.7035383e+02    9.3375570e-05    6.1111448e-05    6.5446934e-01    1.1835114e+03    0.0000000e+00    1.0840635e+03    7.9538971e+02    1.3629337e+00    4.2997258e-05    2.7735453e-05
    1.7635127e+03    9.9937932e-02    1.0042397e-01    9.4275029e-02    5.2888210e+02    8.7797141e+02    3.7030561e+02    9.3107858e-05    6.0925927e-05    6.5435859e-01    1.1835114e+03    0.0000000e+00    1.0840025e+03    7.9532854e+02    1.3629619e+00    4.2989934e-05    2.7726742e-05
